RT @monmouthu: Thank you  Bruce  from all of us at Monmouth University. #TheBossatMU https://t.co/hifsmgMUwP	170
RT @SimonBooks: Great take on @springsteen's #BornToRun in @vulture by the wonderful @rtraister  must read: https://t.co/1mzuwbn0aY.	85
...and Canada!	100
RT @nprfreshair: "These are hard questions. Fresh Air is difficult." - Bruce @springsteen Listen: @iTunesPodcasts https://t.co/BlY2NBMKqi	86
RT @monmouthu: Thank you  Bruce  from all of us at Monmouth University. #TheBossatMU https://t.co/hifsmgMUwP	170
RT @monmouthu: I always roll with Nebraska as my favorite album. I cut it on a Gibson Echoplex onto a little beatbox in a week....	61
Read highlights from tonight's announcement on the Bruce Springsteen Archives &amp; Center for American Music here: @monmouthu	109
RT @pitchfork: Bruce @Springsteen's archives will be housed at @MonmouthU https://t.co/fPLOiMiMol	167
RT @monmouthu: The Boss and Bob Santelli  Exec Director of the Grammy Museum. #TheBossatMU https://t.co/z0tIAhWdHA	75
RT @AXSTV: In case you couldn't tell  we're a BIT excited for @springsteen to rock @AXSTV this SUNDAY. https://t.co/Zsjstnsy53	41
RT @monmouthu: Tickets go on sale today at noon https://t.co/bDskC0czJ3	26
RT @AXSTV: Coming to AXS TV January 15th... @springsteen And The E Street Band Live In Barcelona! https://t.co/LDznIWGKZA	206
All tickets are $75 each and will be sold online only starting at noon ET on Jan. 4 by visiting https://t.co/h9I8vdL2Zg.	50
.@monmouthu welcomes Bruce on Jan. 10 at 7:30pm for an intimate conversation on his career moderated by Robert Santelli of @TheGRAMMYMuseum.	109
Bruce on @WTFpod with @marcmaron is also available here. Enjoy and happy new year! https://t.co/76jmmm9BXR	159
Bruce on @WTFpod with @marcmaron. Listen here. https://t.co/YPSLfpVTDY	117
Today! Bruce joins @marcmaron on @WTFpod. https://t.co/O6W2A3ELkk	90
In case you missed it  Bruce in his own words is available on demand from @Channel4 now. https://t.co/I1z7yFAsq0	214
RT @SonyLegacyUK: 'Bruce @springsteen : In His Own Words' is now available on-demand at https://t.co/jtJsnDLOuk: https://t.co/6FLLKpJXkm	21
RT @marcmaron: Tomorrow is @springsteen day on @WTFpod!	222
RT @SimonBooks: #BornToRun by @springsteen  one of the best books of the year! Got your copy yet? https://t.co/g9ISrDAKRs	89
RT @RollingStone: The 10 best music books of 2016 https://t.co/ilcEwKbmuQ https://t.co/iJ3eAo5B89	152
The music is medicine for Bruce Springsteen... watch his complete interview with PBS @NewsHour here. https://t.co/mCWryOmpGy	294
RT @NewsHour: Watch @JeffreyBrown's entire conversation with @springsteen https://t.co/xckNqDIGH1	87
Watch Part #1 of Bruce's interview with @NewsHour here! https://t.co/80ReeoDsRo	180
Hear a new excerpt of Chapter 53 from the #BornToRun audiobook narrated by Bruce himself! https://t.co/1qXiYQdmMD	104
Get your copy of the #BorntoRun audiobook  read by Bruce  now: https://t.co/Co6NtGYveO https://t.co/JlKvywfJpm	63
In case you missed it  listen to Bruce on @BBCRadio4's #DesertIslandDiscs earlier today here. https://t.co/1kqYD9k6ca	442
RT @BBCRadio4: Hear a preview clip of Bruce @Springsteen's #DesertIslandDiscs. Listen this Sunday 11.15am https://t.co/OJX9SOm5qS	184
.@nytimes critic @DwightGarner named #BornToRun one of the Top Books of 2016! https://t.co/EqLwtguGi9 https://t.co/XaC55PAxOE	181
RT @coslive: Band of the Year: Bruce @Springsteen and the E Street Band https://t.co/sRIIuCgr6e #BruceSpringsteen https://t.co/KvUM5ZLkjV	448
A few more copies of #borntorun rolling off the @simonschusterUK press just in time for the holidays! https://t.co/cajWOJRvLV	251
RT @SIRIUSXM: RT if you just put the audiobook of Born to Run on your holiday wishlist.   https://t.co/V0X80vhJi3	127
#BornToRun was named 'Best Memoir' by @iBooks!  https://t.co/HWbw3SxeSg #BestofiBooks https://t.co/kfUZJ38CAJ	211
Bruce talks about the late Clarence Clemons in an except from the #BorntoRun audiobook at https://t.co/YahXTKffvV	86
You better watch out  you better not cry... #borntorun https://t.co/KeE7iNe5Iq	152
RT @NewYorkerRadio: .@springsteen talks about the late  great Clarence Clemons: https://t.co/4R49WJUauP https://t.co/ptYcSlCGSZ	131
RT @OfficialSting: @springsteen will be joining us at @carnegiehall on Dec. 14 - get your tickets today! https://t.co/hnslRWTwhq	94
RT @statesman: Thousands of people lined up to see Bruce @Springsteen at @BookPeople today https://t.co/s58dqunRCN	44
Hello from @BookPeople in Austin  TX! #BornToRun https://t.co/M02xyJXrfI	128
Today  1 in 5 NJ kids will miss at least one meal. Give to @CFBNJ today &amp; your gift will be doubled. https://t.co/uhqoGGaYa2 #GivingTuesday	289
"There is a place for everyone in Bruce Springsteen's America."   Read more at https://t.co/YahXTKffvV https://t.co/HusHqX744A	1727
RT @petesouza: Just to confirm  it was NOT me who yelled BROOOOCE at the Medal of Freedom ceremony today (though I wanted to) @springsteen	233
RT @cspan: Bruce @springsteen receives the Presidential Medal of Freedom from President Obama. https://t.co/MVtv2jXMb6	1334
"There is a place for everyone in Bruce Springsteen's America." - Bruce Springsteen's Presidential Medal of Freedom citation	2059
"I am the President. He is the boss." -@POTUS @BarackObama	1517
Watch live: Bruce receives the Presidential Medal of Freedom from @BarackObama at the @WhiteHouse... starting soon! https://t.co/nw4prOdnQV	307
RT @Dodgers: The Boss and Bruce @springsteen. https://t.co/WfwXD1aXRI	2089
RT @NBA: Presidential Medal of Freedom recipients Bruce @springsteen &amp; @kaj33! https://t.co/rAF0mTVbtU	509
Tickets to Bruce Springsteen at @JosephBethCincy on sale NOW at https://t.co/QDD8zoHzDZ	33
Tickets for Bruce Springsteen at @TatteredCover in Denver go on sale at 10am MT today: https://t.co/AO478BVvCQ	23
Tickets for Bruce Springsteen at @2ndandcharles in Kennesaw  GA go on sale at 12pm ET today: https://t.co/hKwPGwtevJ	34
Tickets for Bruce Springsteen at @BookPeople in Austin go on sale at 11am CT today: https://t.co/0gXResQDKP	27
Tickets for Bruce Springsteen at @booksamillion in Chicago go on sale at 11am CT today: https://t.co/0WM0tHKpvT	29
RT @GreasyLake: You better watch out  you better not cry... @springsteen is comin' to town https://t.co/o56INlWe6l	68
Announcing the #BornToRun audiobook  read by Bruce Springsteen  available December 6. Pre-order now. https://t.co/Fjraej3TiY	264
RT @people: Bruce Springsteen voices audiobook edition of his bestselling memoir Born to Run https://t.co/VXmfGs5ZkY https://t.co/4mkF6a7PZR	126
RT @SimonAudio: @springsteen narrates the audiobook edition of #BornToRun + hear an exclusive clip via  @people: https://t.co/eWshOIWpLt	61
Bruce has been named a recipient of the Presidential Medal of Freedom  the nation's highest civilian honor. https://t.co/akyGpryjud	1636
#BornToRun made @amazonbooks' Best Books of 2016! https://t.co/cAWxcFoGjt https://t.co/AoQYWGZxmV	213
RT @coslive: Biker gang rescues Bruce @Springsteen after his motorcycle breaks down: https://t.co/NeL5glkQ8E https://t.co/F9vPPPsl4m	374
Greetings from Philadelphia with @HillaryClinton. #imwithher https://t.co/NXbdKxGO3b	4238
RT @ColumbiaRecords: RT to vote for @springsteen &amp; the E Street Band for Tour of the Year at the #AMAs! https://t.co/r2ihtFTlpD	511
Our heroes in uniform stood up for us. It's now our turn to #Stand4Heroes with the Bob Woodruff Foundation. https://t.co/sw0nqI4ynK	251
Happy Halloween from Bruce &amp; the E Street Band! Watch out for that Jersey Devil tonight... https://t.co/rDdl42a0c1	453
.@PublishersWkly named #BornToRun one of its top nonfiction books of 2016! https://t.co/cL2m6mHGNe	150
RT @SimonBooks: Appearing in this Sunday's @nytimesbooks review section. https://t.co/ndNuJf3Mre	53
UK! Get the limited edition tortoiseshell vinyl of Chapter And Verse next month! https://t.co/tZDgVMKT36	74
RT @backstreetsmag: Happy birthday to the Tennessee Terror  Mr. @gwtallent! [photograph by @josephquever] https://t.co/Yt9KbKGgE9	152
RT @SimonBooks: #BruceSpringsteen  #BornToRun  available now! https://t.co/bWMyR94HAC	122
RT @bbcmusic: Hear Bruce Springsteen's first radio interview for 7 years: https://t.co/Yx3xLUXlCc @springsteen	106
Toronto! Join Bruce at @chaptersindigo on Thursday  Oct. 27. Tickets available tomorrow at 1pm ET. More info here: https://t.co/RIEamlHcJc	96
Bruce Springsteen's autobiography calls his 2006 @jazzfest show 'one of the most meaningful.' https://t.co/459IwwiWAG	113
Bruce chats with @simonmayo this week for @BBCRadio2. Have a question you'd like him to ask? Details here! https://t.co/WKGhr9oHrk	93
RT @RollingStone: Bruce Springsteen's Favorite Guitar: The story behind the one-of-a-Kind Fender https://t.co/uV7byW2mJU	406
RT @colbertlateshow: Tonight! Current legend and future Nobel Prize in Literature winner  @Springsteen! #LSSC https://t.co/u1kMByuxXf	230
Springsteen on Dylan: https://t.co/6Egr4osCKy	654
RT @Lin_Manuel: @RollingStone like this: https://t.co/omkNnpg2Y7	200
Want to help @springsteen &amp; The E Street Band win the #AMAs for Tour of the Year? RT this! https://t.co/8zpAyniSlq	3906
Tickets for the @waterstones event have sold out. See you next week  London!	89
RT @Waterstones: Tickets to our @springsteen event are available to buy now: https://t.co/7CpP00IzkR https://t.co/3YHoSRtX2X	38
Bruce Springsteen &amp; David Remnick in conversation at #TNYfest https://t.co/El4pQePsTQ	128
Hello from #TNYfest! https://t.co/M9K76ZJIdS	48
Planning to read #BornToRun over the long weekend? Soundtrack the book with our UNABRIDGED @Spotify playlist. https://t.co/QJYg8CooGw	112
Check out highlights from Wednesday's conversation with Dan Stone at @cityartssf  thanks to the @sfchronicle. https://t.co/eKQq04BGK1	123
RT @SimonBooks: Great take on @springsteen's #BornToRun in @vulture by the wonderful @rtraister  must read: https://t.co/1mzuwbn0aY.	85
...and Canada!	100
RT @nprfreshair: "These are hard questions. Fresh Air is difficult." - Bruce @springsteen Listen: @iTunesPodcasts https://t.co/BlY2NBMKqi	86
RT @monmouthu: Thank you  Bruce  from all of us at Monmouth University. #TheBossatMU https://t.co/hifsmgMUwP	170
RT @monmouthu: I always roll with Nebraska as my favorite album. I cut it on a Gibson Echoplex onto a little beatbox in a week....	61
Read highlights from tonight's announcement on the Bruce Springsteen Archives &amp; Center for American Music here: @monmouthu	109
RT @pitchfork: Bruce @Springsteen's archives will be housed at @MonmouthU https://t.co/fPLOiMiMol	167
RT @monmouthu: The Boss and Bob Santelli  Exec Director of the Grammy Museum. #TheBossatMU https://t.co/z0tIAhWdHA	75
RT @AXSTV: In case you couldn't tell  we're a BIT excited for @springsteen to rock @AXSTV this SUNDAY. https://t.co/Zsjstnsy53	41
RT @monmouthu: Tickets go on sale today at noon https://t.co/bDskC0czJ3	26
RT @AXSTV: Coming to AXS TV January 15th... @springsteen And The E Street Band Live In Barcelona! https://t.co/LDznIWGKZA	206
All tickets are $75 each and will be sold online only starting at noon ET on Jan. 4 by visiting https://t.co/h9I8vdL2Zg.	50
.@monmouthu welcomes Bruce on Jan. 10 at 7:30pm for an intimate conversation on his career moderated by Robert Santelli of @TheGRAMMYMuseum.	109
Bruce on @WTFpod with @marcmaron is also available here. Enjoy and happy new year! https://t.co/76jmmm9BXR	159
Bruce on @WTFpod with @marcmaron. Listen here. https://t.co/YPSLfpVTDY	117
Today! Bruce joins @marcmaron on @WTFpod. https://t.co/O6W2A3ELkk	90
In case you missed it  Bruce in his own words is available on demand from @Channel4 now. https://t.co/I1z7yFAsq0	214
RT @SonyLegacyUK: 'Bruce @springsteen : In His Own Words' is now available on-demand at https://t.co/jtJsnDLOuk: https://t.co/6FLLKpJXkm	21
RT @marcmaron: Tomorrow is @springsteen day on @WTFpod!	222
RT @SimonBooks: #BornToRun by @springsteen  one of the best books of the year! Got your copy yet? https://t.co/g9ISrDAKRs	89
RT @RollingStone: The 10 best music books of 2016 https://t.co/ilcEwKbmuQ https://t.co/iJ3eAo5B89	152
The music is medicine for Bruce Springsteen... watch his complete interview with PBS @NewsHour here. https://t.co/mCWryOmpGy	294
RT @NewsHour: Watch @JeffreyBrown's entire conversation with @springsteen https://t.co/xckNqDIGH1	87
Watch Part #1 of Bruce's interview with @NewsHour here! https://t.co/80ReeoDsRo	180
Hear a new excerpt of Chapter 53 from the #BornToRun audiobook narrated by Bruce himself! https://t.co/1qXiYQdmMD	104
Get your copy of the #BorntoRun audiobook  read by Bruce  now: https://t.co/Co6NtGYveO https://t.co/JlKvywfJpm	63
In case you missed it  listen to Bruce on @BBCRadio4's #DesertIslandDiscs earlier today here. https://t.co/1kqYD9k6ca	442
RT @BBCRadio4: Hear a preview clip of Bruce @Springsteen's #DesertIslandDiscs. Listen this Sunday 11.15am https://t.co/OJX9SOm5qS	184
.@nytimes critic @DwightGarner named #BornToRun one of the Top Books of 2016! https://t.co/EqLwtguGi9 https://t.co/XaC55PAxOE	181
RT @coslive: Band of the Year: Bruce @Springsteen and the E Street Band https://t.co/sRIIuCgr6e #BruceSpringsteen https://t.co/KvUM5ZLkjV	448
A few more copies of #borntorun rolling off the @simonschusterUK press just in time for the holidays! https://t.co/cajWOJRvLV	251
RT @SIRIUSXM: RT if you just put the audiobook of Born to Run on your holiday wishlist.   https://t.co/V0X80vhJi3	127
#BornToRun was named 'Best Memoir' by @iBooks!  https://t.co/HWbw3SxeSg #BestofiBooks https://t.co/kfUZJ38CAJ	211
Bruce talks about the late Clarence Clemons in an except from the #BorntoRun audiobook at https://t.co/YahXTKffvV	86
You better watch out  you better not cry... #borntorun https://t.co/KeE7iNe5Iq	152
RT @NewYorkerRadio: .@springsteen talks about the late  great Clarence Clemons: https://t.co/4R49WJUauP https://t.co/ptYcSlCGSZ	131
RT @OfficialSting: @springsteen will be joining us at @carnegiehall on Dec. 14 - get your tickets today! https://t.co/hnslRWTwhq	94
RT @statesman: Thousands of people lined up to see Bruce @Springsteen at @BookPeople today https://t.co/s58dqunRCN	44
Hello from @BookPeople in Austin  TX! #BornToRun https://t.co/M02xyJXrfI	128
Today  1 in 5 NJ kids will miss at least one meal. Give to @CFBNJ today &amp; your gift will be doubled. https://t.co/uhqoGGaYa2 #GivingTuesday	289
"There is a place for everyone in Bruce Springsteen's America."   Read more at https://t.co/YahXTKffvV https://t.co/HusHqX744A	1727
RT @petesouza: Just to confirm  it was NOT me who yelled BROOOOCE at the Medal of Freedom ceremony today (though I wanted to) @springsteen	233
RT @cspan: Bruce @springsteen receives the Presidential Medal of Freedom from President Obama. https://t.co/MVtv2jXMb6	1334
"There is a place for everyone in Bruce Springsteen's America." - Bruce Springsteen's Presidential Medal of Freedom citation	2059
"I am the President. He is the boss." -@POTUS @BarackObama	1517
Watch live: Bruce receives the Presidential Medal of Freedom from @BarackObama at the @WhiteHouse... starting soon! https://t.co/nw4prOdnQV	307
RT @Dodgers: The Boss and Bruce @springsteen. https://t.co/WfwXD1aXRI	2089
RT @NBA: Presidential Medal of Freedom recipients Bruce @springsteen &amp; @kaj33! https://t.co/rAF0mTVbtU	509
Tickets to Bruce Springsteen at @JosephBethCincy on sale NOW at https://t.co/QDD8zoHzDZ	33
Tickets for Bruce Springsteen at @TatteredCover in Denver go on sale at 10am MT today: https://t.co/AO478BVvCQ	23
Tickets for Bruce Springsteen at @2ndandcharles in Kennesaw  GA go on sale at 12pm ET today: https://t.co/hKwPGwtevJ	34
Tickets for Bruce Springsteen at @BookPeople in Austin go on sale at 11am CT today: https://t.co/0gXResQDKP	27
Tickets for Bruce Springsteen at @booksamillion in Chicago go on sale at 11am CT today: https://t.co/0WM0tHKpvT	29
RT @GreasyLake: You better watch out  you better not cry... @springsteen is comin' to town https://t.co/o56INlWe6l	68
Announcing the #BornToRun audiobook  read by Bruce Springsteen  available December 6. Pre-order now. https://t.co/Fjraej3TiY	264
RT @people: Bruce Springsteen voices audiobook edition of his bestselling memoir Born to Run https://t.co/VXmfGs5ZkY https://t.co/4mkF6a7PZR	126
RT @SimonAudio: @springsteen narrates the audiobook edition of #BornToRun + hear an exclusive clip via  @people: https://t.co/eWshOIWpLt	61
Bruce has been named a recipient of the Presidential Medal of Freedom  the nation's highest civilian honor. https://t.co/akyGpryjud	1636
#BornToRun made @amazonbooks' Best Books of 2016! https://t.co/cAWxcFoGjt https://t.co/AoQYWGZxmV	213
RT @coslive: Biker gang rescues Bruce @Springsteen after his motorcycle breaks down: https://t.co/NeL5glkQ8E https://t.co/F9vPPPsl4m	374
Greetings from Philadelphia with @HillaryClinton. #imwithher https://t.co/NXbdKxGO3b	4238
RT @ColumbiaRecords: RT to vote for @springsteen &amp; the E Street Band for Tour of the Year at the #AMAs! https://t.co/r2ihtFTlpD	511
Our heroes in uniform stood up for us. It's now our turn to #Stand4Heroes with the Bob Woodruff Foundation. https://t.co/sw0nqI4ynK	251
Happy Halloween from Bruce &amp; the E Street Band! Watch out for that Jersey Devil tonight... https://t.co/rDdl42a0c1	453
.@PublishersWkly named #BornToRun one of its top nonfiction books of 2016! https://t.co/cL2m6mHGNe	150
RT @SimonBooks: Appearing in this Sunday's @nytimesbooks review section. https://t.co/ndNuJf3Mre	53
UK! Get the limited edition tortoiseshell vinyl of Chapter And Verse next month! https://t.co/tZDgVMKT36	74
RT @backstreetsmag: Happy birthday to the Tennessee Terror  Mr. @gwtallent! [photograph by @josephquever] https://t.co/Yt9KbKGgE9	152
RT @SimonBooks: #BruceSpringsteen  #BornToRun  available now! https://t.co/bWMyR94HAC	122
RT @bbcmusic: Hear Bruce Springsteen's first radio interview for 7 years: https://t.co/Yx3xLUXlCc @springsteen	106
Toronto! Join Bruce at @chaptersindigo on Thursday  Oct. 27. Tickets available tomorrow at 1pm ET. More info here: https://t.co/RIEamlHcJc	96
Bruce Springsteen's autobiography calls his 2006 @jazzfest show 'one of the most meaningful.' https://t.co/459IwwiWAG	113
Bruce chats with @simonmayo this week for @BBCRadio2. Have a question you'd like him to ask? Details here! https://t.co/WKGhr9oHrk	93
RT @RollingStone: Bruce Springsteen's Favorite Guitar: The story behind the one-of-a-Kind Fender https://t.co/uV7byW2mJU	406
RT @colbertlateshow: Tonight! Current legend and future Nobel Prize in Literature winner  @Springsteen! #LSSC https://t.co/u1kMByuxXf	230
Springsteen on Dylan: https://t.co/6Egr4osCKy	654
RT @Lin_Manuel: @RollingStone like this: https://t.co/omkNnpg2Y7	200
Want to help @springsteen &amp; The E Street Band win the #AMAs for Tour of the Year? RT this! https://t.co/8zpAyniSlq	3906
Tickets for the @waterstones event have sold out. See you next week  London!	89
RT @Waterstones: Tickets to our @springsteen event are available to buy now: https://t.co/7CpP00IzkR https://t.co/3YHoSRtX2X	38
Bruce Springsteen &amp; David Remnick in conversation at #TNYfest https://t.co/El4pQePsTQ	128
Hello from #TNYfest! https://t.co/M9K76ZJIdS	48
Planning to read #BornToRun over the long weekend? Soundtrack the book with our UNABRIDGED @Spotify playlist. https://t.co/QJYg8CooGw	112
Check out highlights from Wednesday's conversation with Dan Stone at @cityartssf  thanks to the @sfchronicle. https://t.co/eKQq04BGK1	123
RT @SimonBooks: Great take on @springsteen's #BornToRun in @vulture by the wonderful @rtraister  must read: https://t.co/1mzuwbn0aY.	85
...and Canada!	100
RT @nprfreshair: "These are hard questions. Fresh Air is difficult." - Bruce @springsteen Listen: @iTunesPodcasts https://t.co/BlY2NBMKqi	86
